ID,台語羅馬字,台語羅馬字2,台語漢字,華語對譯,英文,freq,pos_h
1,a2-bo5,,a2無,;不然;還是沒有;,,5447,
2,a2-i5,,a2蛦,;蟬;,,811,Na
3,a2-phau3,,阿炮,;凱子;,,868,
4,a3-leng5,,啞鈴,;小鎮;,,915,Nc
5,a7-ho2,,a7好,;怎好;,,2138,
6,a7-khu2-lih,,a7-khu2-lih,;壓克力;,,618,Na
7,a7-sai2,,a7使,;何必;何須;怎麼需要;,,2719,Db
8,a7-soah-si7,,a7-soah是,;哪裡是;,,3838,
9,a7-soah-u7,,a7-soah有,;哪有;,,4051,
10,a7-tioh8,,a7著,;何必;,,1413,Db
11,a7-u7,,a7有,;哪有;,,3759,
12,a-bo2,a-bu2,阿母,;母親;媽媽;,mother,1884,Na
13,a-bu-kha-lo,,a-bu-kha-lo,;酪梨;,,1052,
14,a-cha,am-cham,腌臢,;骯髒;,dirty,975,VH
15,a-chek,,阿叔,;叔父;叔叔;,uncle,1101,Na
16,a-chim2,,阿嬸,;叔母;嬸嬸;,aunt,1002,Na
17,a-chiu,a3-chiu,亞洲,;亞洲;,Asia,827,Nc
18,a-chou2,,阿祖,;曾祖父母;,grandfather,1269,
19,a-geh,,阿給,;油豆腐;,,1663,
20,ah,,ah,;了;啊;,,1652,I;Di;Ta;Tc;VJ
21,ah,,押,;押;強制;,,976,VF;VC
22,ah,,鴨,;鴨;鴨子;,duck,1138,Na
23,ah,,壓,;壓;,,1075,VC
24,ah boe2-au7,ah be2-au7,押尾後,;壓隊;殿後;,,2269,VA;VH
25,ah8,,ah8,;怎麼;哪裡;,,1701,Nc;Dj;VH
26,ah8,ap8,盒,;盒;,box,472,Nf
27,ah8-a2,,匣仔,;匣子;,,1108,Na
28,ah8-a2,ap8-a2,盒仔,;盒子;,,1230,Na;Nf
29,ah8-chhioh,,壓尺,;界尺;,,500,Na
30,ah8-chng,,盒裝,;盒裝;,,663,A
31,ah8-ek,,壓抑,;壓抑;,,756,VC
32,ah8-ke7,,壓低,;壓低;,,818,VR
33,ah8-keng2,,壓境,;壓境;,,726,VA
34,ah8-pan2,,壓板,;界尺;壓;,,654,Na;VC
35,ah8-u7-che,,ah8有che,;怎麼這樣;,,5250,
36,ah8-u7-chit8-e5,,ah8有一個,;怎麼這樣;,,9167,
37,ah-a2-kiaN2,,鴨仔囝,;小鴨;鴨黃;,,2202,
38,ah-a2-tan,,鴨仔tan,;小鴨;,,1871,
39,ah-au7,,押後,;殿後;,,1340,VH
40,ah-bah,,鴨肉,;鴨肉;,,1187,
41,ah-bi5,,鴨咪,;鴨子;,,1076,Na
42,ah-bi5-a2,,鴨咪仔,;小鴨子;,,1930,
43,ah-bi7,,鴨味,;蹩腳;,,1160,VH
44,ah-bi7,,壓味,;壓味;,,1109,
45,ah-bo2,ah-bu2,鴨母,;母鴨;,,1447,Na
46,ah-bo2-chhau2,ah-bu2-chhau2,鴨母草,;水丁黃;,,1866,
47,ah-bo2-chhiu7,ah-bu2-chhiu7,鴨母樹,;江某;鵝掌樹;,,1782,
48,ah-bo2-chu,ah-bu2-chu,鴨母珠,;薏苡;,,2349,
49,ah-bo2-hiaN7,ek-bu2-hiaN7,益母艾,;益母草;,,1549,
50,ah-bo2-it,ah-bu2-it,鴨母乙,;乙;,,1559,Ne
51,ah-bo2-leh8,ah-bu2-leh8,鴨母笠,;斗笠;,,1594,Na
52,ah-bo2-phaN3,ah-bu2-phaN3,鴨母冇,;江某;,,1471,
53,ah-bo2-te5,ah-bu2-toe5,鴨母蹄,;平足;扁平足;,,1811,
54,ah-boe2,ah-be2,押尾,;押後;殿後;斷後;,,1734,VB;VH
55,ah-boe7-si7,ah-be7-si7,ah未是,;且慢;,,3502,VH
56,ah-chai3,,押載,;押運;,,921,VC
57,ah-chhioh,,鴨尺,;鴨的胰腺;,,2207,
58,ah-chhui3-hong5,,鴨嘴hong5,;鴨舌hong5;,,1696,
59,ah-chhut,,押出,;押出;,,1448,VR
60,ah-chih8-chhau2,,鴨舌草,;斛菜;,,1325,
61,ah-chih8-hong5,,鴨舌hong5,;水丁黃;鴨舌hong5;,,1874,
62,ah-chiuN2,ah-chiong2,鴨掌,;鴨掌;,,957,Na
63,ah-heng5,,鴨雄,;雄鴨;,,1077,
64,ah-heng5-a2,,鴨雄仔,;鴨黃;,,1876,
65,ah-hoe7,,押匯,;押匯;,,900,VA;Na;re
66,ah-hou2,,壓虎,;花梨隼;,,1252,
67,a-hiaN,,阿兄,;哥哥;喪葬工;,,1122,Na
68,ah-kai2,,押解,;押解;,,990,VC
69,ah-kak,,鴨角,;公鴨;雄番鴨;,,1193,
70,ah-kang,,鴨公,;公鴨;雄番鴨;雄鴨;,,1219,
71,ah-kang-khiu5,,鴨公khiu5,;彈簧;,,1214,Na
72,ah-ke7,,抑低,;抑低;,,1141,VC
73,ah-kha-bok8,,鴨腳木,;鵝掌樹;,,1740,
